date;music;voice;perfect;great;good;ok;missed;evaluated;precision
2026-07-25T17:25:54.886544;Agradece ao Pai - Prisma Brasil;Contralto;107;1;7;4;136;255;40.5095
2026-07-25T17:29:44.241513;Agradece ao Pai - Prisma Brasil;Contralto;112;6;9;6;122;255;42.1800
2026-07-25T17:34:42.866845;Agradece ao Pai - Prisma Brasil;Contralto;117;4;7;6;121;255;46.8769
2026-07-25T17:38:20.971264;Agradece ao Pai - Prisma Brasil;Contralto;105;8;10;7;125;255;40.8274
2026-07-25T17:41:40.712358;Agradece ao Pai - Prisma Brasil;Contralto;138;5;6;4;102;255;52.7386
